intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,archetype_used,intent_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total
rtx-spark-asus-proart-p14,"ASUS ProArt P14 (RTX Spark N1, 32GB Unified)",Unreleased,Laptop,laptop,Complete_System,1,1C,NVIDIA RTX Spark N1 (Unified),0.0,32.0,14.0,UNKNOWN,UNKNOWN,No,Yes,New,ASUS Store AU,Watchlist,No,MANUFACTURER_AU,MANUFACTURER_AU,UNKNOWN,cards/watchlist/rtx-spark-asus-proart-p14.md,,Passed gates,Price UNKNOWN — research required; AU stock: No,,,rtx-spark-asus-proart-p14,Candidate,,,,,,
rtx-spark-asus-proart-p16,"ASUS ProArt P16 (RTX Spark N1X, 64GB Unified)",Unreleased,Laptop,laptop,Complete_System,1,1C,NVIDIA RTX Spark N1X (Unified),0.0,64.0,16.0,UNKNOWN,UNKNOWN,No,Yes,New,ASUS Store AU,Watchlist,No,MANUFACTURER_AU,MANUFACTURER_AU,UNKNOWN,cards/watchlist/rtx-spark-asus-proart-p16.md,,Passed gates,Price UNKNOWN — research required; AU stock: No,,,rtx-spark-asus-proart-p16,Candidate,,,,,,
rtx-spark-hp-omnibook-ultra-16,"HP OmniBook Ultra 16 (RTX Spark N1X, 64GB Unified)",Unreleased,Laptop,laptop,Complete_System,1,1C,NVIDIA RTX Spark N1X (Unified),0.0,64.0,16.0,UNKNOWN,UNKNOWN,No,Yes,New,HP Store AU,Watchlist,No,MANUFACTURER_AU,MANUFACTURER_AU,UNKNOWN,cards/watchlist/rtx-spark-hp-omnibook-ultra-16.md,,Passed gates,Price UNKNOWN — research required; AU stock: No,,,rtx-spark-hp-omnibook-ultra-16,Candidate,,,,,,
rtx-spark-lenovo-yoga-pro-9n,"Lenovo Yoga Pro 9n (RTX Spark N1, 64GB Unified)",Unreleased,Laptop,laptop,Complete_System,1,1C,NVIDIA RTX Spark N1 (Unified),0.0,64.0,16.0,UNKNOWN,UNKNOWN,No,Yes,New,Lenovo Store AU,Watchlist,No,MANUFACTURER_AU,MANUFACTURER_AU,UNKNOWN,cards/watchlist/rtx-spark-lenovo-yoga-pro-9n.md,,Passed gates,Price UNKNOWN — research required; AU stock: No,,,rtx-spark-lenovo-yoga-pro-9n,Candidate,,,,,,
rtx-spark-msi-prestige-n16,"MSI Prestige N16 Flip AI+ (RTX Spark N1, 64GB Unified)",Unreleased,Laptop,laptop,Complete_System,1,1C,NVIDIA RTX Spark N1 (Unified),0.0,64.0,16.0,UNKNOWN,UNKNOWN,No,Yes,New,MSI Store AU,Watchlist,No,MANUFACTURER_AU,MANUFACTURER_AU,UNKNOWN,cards/watchlist/rtx-spark-msi-prestige-n16.md,,Passed gates,Price UNKNOWN — research required; AU stock: No,,,rtx-spark-msi-prestige-n16,Candidate,,,,,,
rtx-spark-surface-laptop-ultra-128gb,"Microsoft Surface Laptop Ultra (RTX Spark N1X, 128GB Unified)",Unreleased,Laptop,laptop,Complete_System,1,1C,NVIDIA RTX Spark N1X (Unified),0.0,128.0,16.0,UNKNOWN,UNKNOWN,No,Yes,New,Microsoft Store AU,Watchlist,No,MANUFACTURER_AU,MANUFACTURER_AU,UNKNOWN,cards/watchlist/rtx-spark-surface-laptop-ultra-128gb.md,,Passed gates,Price UNKNOWN — research required; AU stock: No,,,rtx-spark-surface-laptop-ultra-128gb,Candidate,,,,,,
