intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,Upgrade_Ceiling,MCDA_Total,seller_risk_score,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,warranty_months_confirmed,acl_covered,Seller_Risk_Multiplier,Source_Platform_Penalty,Risk_Adjustment,Adjusted_MCDA_Total,Policy_Status,Policy_Blockers,score_acquisition_risk,battery_score,battery_disclosure_score,battery_health_value_score,risk_adjusted_price,manufacture_year,risk_flags
intake-001,"GIGABYTE AORUS 17.4"" YE5- 17.3"" RTX 3080ti 300Hz, Intel i7 12th gen 14c 20t 32gb",ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 3080 Ti Laptop GPU,16.0,UNKNOWN,17.3,UNKNOWN,1481.57,No,,Used,UNKNOWN,Verified,Yes,EBAY_AU,EBAY_AU,ebay_watchlist_2026-06-07_processed,cards/intake-001_gigabyte-aorus-174-ye5-173-rtx-3080ti-300hz-intel-i7-12th-ge.md,,Passed gates,,intake-001,Candidate,7.0,7.15,7.0,5.0,7.0,3.0,5.604,,,,,yes,,,,,,,,,,,,0.900,0.400,-0.960,4.644,GOOD_ENOUGH,,0.0,2.0,1.0,3.0,1751.57,,NO_WARRANTY; NO_RETURNS; BATTERY_UNDISCLOSED
intake-006,Asus Rog Strix 17 RTX 4090 laptop QHD 240Hz display 64Gb ram DDR5,ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 4090 Laptop GPU,16.0,UNKNOWN,17.0,UNKNOWN,3626.8,No,,Used,UNKNOWN,Verified,Yes,EBAY_AU,EBAY_AU,ebay_watchlist_2026-06-07_processed,cards/intake-006_asus-rog-strix-17-rtx-4090-laptop-qhd-240hz-display-64gb-ram.md,,Passed gates,,intake-006,Candidate,7.0,4.15,7.5,5.0,7.0,3.0,5.204,,,,,yes,,,,,,,,,,,,0.900,0.400,-0.920,4.284,GOOD_ENOUGH,,0.0,2.0,1.0,3.0,3896.8,,NO_WARRANTY; NO_RETURNS; BATTERY_UNDISCLOSED
intake-004,"Lenovo Legion 9i 18"" WQUXGA Intel Ultra 9 240Hz 2TB 64GB RTX5080 Gaming Laptop",ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 5080 Laptop GPU,16.0,UNKNOWN,18.0,UNKNOWN,4755.75,No,,Refurbished,UNKNOWN,Verified,Yes,EBAY_AU,EBAY_AU,ebay_watchlist_2026-06-07_processed,cards/intake-004_lenovo-legion-9i-18-wquxga-intel-ultra-9-240hz-2tb-64gb-rtx5.md,,Passed gates,,intake-004,Candidate,8.0,2.15,8.0,4.5,7.0,3.0,5.084,,,,,yes,,,,,,,,,,,,0.900,0.400,-0.908,4.176,GOOD_ENOUGH,,0.0,2.0,1.0,3.0,5025.75,,NO_WARRANTY; NO_RETURNS; BATTERY_UNDISCLOSED
intake-003,"(A+)Asus ROG Strix SCAR 17 SE 17.3"" i7-12950HX 32G 2TB SSD RTX3080Ti FHD 360Hz",ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 3080 Ti Laptop GPU,16.0,UNKNOWN,17.3,UNKNOWN,2517.0,No,,Used,UNKNOWN,Verified,Yes,EBAY_AU,EBAY_AU,ebay_watchlist_2026-06-07_processed,cards/intake-003_aasus-rog-strix-scar-17-se-173-i7-12950hx-32g-2tb-ssd-rtx308.md,,Passed gates,,intake-003,Candidate,7.0,4.65,5.5,5.0,7.0,3.0,4.964,,,,,yes,,,,,,,,,,,,0.900,0.400,-0.896,4.068,GOOD_ENOUGH,,0.0,2.0,1.0,3.0,2787.0,2022,NO_WARRANTY; NO_RETURNS; BATTERY_UNDISCLOSED
intake-002,"Razer Blade 18"" QHD+ 240Hz i9-13950HX RTX4090 2TB 32GB W11H Gaming Laptop",ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 4090 Laptop GPU,16.0,UNKNOWN,18.0,UNKNOWN,4139.0,No,,Refurbished,UNKNOWN,Verified,Yes,EBAY_AU,EBAY_AU,ebay_watchlist_2026-06-07_processed,cards/intake-002_razer-blade-18-qhd-240hz-i9-13950hx-rtx4090-2tb-32gb-w11h-ga.md,,Passed gates,,intake-002,Candidate,7.0,3.15,7.0,4.5,7.0,3.0,4.884,,,,,yes,,,,,,,,,,,,0.900,0.400,-0.888,3.996,GOOD_ENOUGH,,0.0,2.0,1.0,3.0,4409.0,2023,NO_WARRANTY; NO_RETURNS; BATTERY_UNDISCLOSED
intake-005,"Razer Blade Pro 17 17.3"" Intel Core i7-10875H Gaming Laptop",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,17.3,UNKNOWN,2334.0,No,,Refurbished,UNKNOWN,Verified,Yes,EBAY_AU,EBAY_AU,ebay_watchlist_2026-06-07_processed,cards/intake-005_razer-blade-pro-17-173-intel-core-i7-10875h-gaming-laptop.md,,Passed gates,,intake-005,Candidate,0.0,3.65,0.0,5.0,0.0,1.0,1.484,,,,,yes,,,,,,,,,,,,0.900,0.400,-0.548,0.936,NEEDS_REVIEW,VRAM UNKNOWN,0.0,2.0,1.0,3.0,2604.0,2019,AGE_RISK_4YR+; NO_WARRANTY; NO_RETURNS; BATTERY_UNDISCLOSED
