intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,archetype_used,intent_notes,rejection_reason
intake-058,NVIDIA RTX PRO 6000,Out of Stock,Component,component,Workstation_GPU,UNKNOWN,UNKNOWN,RTX PRO 6000,96.0,UNKNOWN,UNKNOWN,UNKNOWN,15999.0,,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/components/intake-058_nvidia-rtx-pro-6000.md,,,,,,Out of Stock
intake-060,NVIDIA RTX 6000 96GB GDDR7 Professional Video Card,Out of Stock,Component,component,Workstation_GPU,UNKNOWN,UNKNOWN,RTX 6000,96.0,UNKNOWN,UNKNOWN,UNKNOWN,15499.0,,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/components/intake-060_nvidia-rtx-6000-96gb-gddr7-professional-video-card.md,,,,,,Out of Stock
01_lenovo-thinkstation-basic,Lenovo ThinkStation (Basic Config),Active,Desktop,desktop_tower_new,Complete_System,UNKNOWN,UNKNOWN,NVIDIA GeForce RTX 4060 Ti,8.0,UNKNOWN,UNKNOWN,UNKNOWN,3350.0,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/desktops/01_lenovo-thinkstation-basic.md,,,,,,Below VRAM floor: 8.0 GB discrete (need ≥16.0 GB)
10_lenovo-thinkstation-p620-refurb,Lenovo ThinkStation P620,Active,Desktop,desktop_towers_refurbished,Complete_System,UNKNOWN,UNKNOWN,NVIDIA Quadro P2000 (5GB GDDR5),5.0,UNKNOWN,UNKNOWN,UNKNOWN,1779.0,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/desktops/10_lenovo-thinkstation-p620-refurb.md,,,,,,Below VRAM floor: 5.0 GB discrete (need ≥16.0 GB)
intake-018,Mid-range build,Active,Desktop,diy build,Complete_System,UNKNOWN,UNKNOWN,RTX 4070 Super,12.0,UNKNOWN,UNKNOWN,UNKNOWN,1599.0,,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-018_mid-range-build.md,,,,,,Below VRAM floor: 12.0 GB discrete (need ≥16.0 GB)
intake-059,HP Z8 FURY G5 Workstation,Out of Stock,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 6000 Ada,48.0,UNKNOWN,UNKNOWN,UNKNOWN,44205.95,,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/desktops/intake-059_hp-z8-fury-g5-workstation.md,,,,,,Out of Stock
intake-081,Lenovo Yoga Book 9i Gen 10 14 (83KJCTO1WWAU3) - Lenovo Australia,Active,Laptop,laptop,Complete_System,1,UNKNOWN,Integrated Intel Graphics,0.0,UNKNOWN,14.0,Flagged,3369.0,,,New,Lenovo Australia,"Verified (full page, 2026-06-08)",Yes,MANUFACTURER_AU,MANUFACTURER_AU,manual_user_submission,cards/laptops/intake-081_lenovo-yoga-book-9i-gen10-83kjcto1wwau3.md,,,,,,"Below VRAM floor: vram=0.0 GB, unified=0 GB (need ≥8.0 GB discrete or ≥16.0 GB unified)"
