intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,rejection_reason
fb-015,MSI Gaming/Business Laptop 6GB Graphics Card,Active,Laptop,laptop,Complete_System,1,1A,UNKNOWN,6.0,UNKNOWN,UNKNOWN,UNKNOWN,500.0,,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-015_msi-gamingbusiness-laptop-6gb-graphics-card.md,,,,"Below VRAM floor: vram=6.0 GB, unified=0 GB (need ≥8.0 GB discrete or ≥16.0 GB unified)"
fb-345,Leader Laptop Core i7/16gb Ram/480gb SSD/2gb Graphics Card,Active,Laptop,laptop,Complete_System,1,1A,UNKNOWN,2.0,UNKNOWN,UNKNOWN,UNKNOWN,250.0,,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-345_leader-laptop-core-i716gb-ram480gb-ssd2gb-graphics-card.md,,,,"Below VRAM floor: vram=2.0 GB, unified=0 GB (need ≥8.0 GB discrete or ≥16.0 GB unified)"
intake-015,Dell Latitude 7330 2-in-1 (Refurbished),Rejected,Laptop,laptop,Complete_System,1,1A,Intel Iris Xe (Integrated),0.0,0.0,UNKNOWN,UNKNOWN,1254.0,,,Refurbished,UNKNOWN,Verified,Yes,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/laptops/intake-015_dell-latitude-7330-2-in-1-refurbished.md,,,,"Below VRAM floor: vram=0.0 GB, unified=0 GB (need ≥8.0 GB discrete or ≥16.0 GB unified)"
