date_found,source_batch,track,pathway,category,item_name,price_aud,gpu_model,vram_gb,unified_memory_gb,ram_gb,cpu_model,condition,retailer,url,au_stock_confirmed,verification_status,status,notes,seller_class,source_platform,screen_size_in,vendor_item_id,seller_risk_score,battery_disclosure_level,battery_health_pct,battery_cycle_count,battery_replaced,risk_flags
2026-06-07,ebay_watchlist_2026-06-07,1,1A,Laptop,"GIGABYTE AORUS 17.4"" YE5- 17.3"" RTX 3080ti 300Hz, Intel i7 12th gen 14c 20t 32gb",1481.57,RTX 3080 Ti Laptop GPU,16,UNKNOWN,32,i7 12th gen,Used,eBay AU,https://www.ebay.com.au/itm/137317465327,Yes,Verified,Active,Scraped from eBay Watchlist. Listing ID: 137317465327. Storage: UNKNOWN,EBAY_AU,EBAY_AU,17.3,137317465327,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-07,ebay_watchlist_2026-06-07,1,1A,Laptop,"Razer Blade 18"" QHD+ 240Hz i9-13950HX RTX4090 2TB 32GB W11H Gaming Laptop",4139.00,RTX 4090 Laptop GPU,16,UNKNOWN,32,i9-13950HX,Refurbished,eBay AU,https://www.ebay.com.au/itm/366238793776,Yes,Verified,Active,Scraped from eBay Watchlist. Listing ID: 366238793776. Storage: 2TB,EBAY_AU,EBAY_AU,18.0,366238793776,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-07,ebay_watchlist_2026-06-07,1,1A,Laptop,"(A+)Asus ROG Strix SCAR 17 SE 17.3"" i7-12950HX 32G 2TB SSD RTX3080Ti FHD 360Hz",2517.00,RTX 3080 Ti Laptop GPU,16,UNKNOWN,32,i7-12950HX,Used,eBay AU,https://www.ebay.com.au/itm/157942587348,Yes,Verified,Active,Scraped from eBay Watchlist. Listing ID: 157942587348. Storage: 2TB SSD,EBAY_AU,EBAY_AU,17.3,157942587348,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-07,ebay_watchlist_2026-06-07,1,1A,Laptop,"Lenovo Legion 9i 18"" WQUXGA Intel Ultra 9 240Hz 2TB 64GB RTX5080 Gaming Laptop",4755.75,RTX 5080 Laptop GPU,16,UNKNOWN,64,Intel Ultra 9,Refurbished,eBay AU,https://www.ebay.com.au/itm/168263146829,Yes,Verified,Active,Scraped from eBay Watchlist. Listing ID: 168263146829. Storage: 2TB,EBAY_AU,EBAY_AU,18.0,168263146829,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-07,ebay_watchlist_2026-06-07,1,1A,Laptop,"Razer Blade Pro 17 17.3"" Intel Core i7-10875H Gaming Laptop",2334.00,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,i7-10875H,Refurbished,eBay AU,https://www.ebay.com.au/itm/116762331758,Yes,Verified,Active,Scraped from eBay Watchlist. Listing ID: 116762331758. Storage: UNKNOWN,EBAY_AU,EBAY_AU,17.3,116762331758,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-07,ebay_watchlist_2026-06-07,1,1A,Laptop,Asus Rog Strix 17 RTX 4090 laptop QHD 240Hz display 64Gb ram DDR5,3626.80,RTX 4090 Laptop GPU,16,UNKNOWN,64,UNKNOWN,Used,eBay AU,https://www.ebay.com.au/itm/358603401448,Yes,Verified,Active,Scraped from eBay Watchlist. Listing ID: 358603401448. Storage: UNKNOWN,EBAY_AU,EBAY_AU,17.0,358603401448,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
