listing_id,title,url,price_raw,price_aud,retailer,condition,cpu_model,gpu_model,ram_gb,vram_gb,screen_size_in,storage
137317465327,"GIGABYTE AORUS 17.4"" YE5- 17.3"" RTX 3080ti 300Hz, Intel i7 12th gen 14c 20t 32gb",https://www.ebay.com.au/itm/137317465327,1450.00,1481.57,eBay AU,Used,i7 12th gen,RTX 3080 Ti Laptop GPU,32,16,17.3,UNKNOWN
366238793776,"Razer Blade 18"" QHD+ 240Hz i9-13950HX RTX4090 2TB 32GB W11H Gaming Laptop",https://www.ebay.com.au/itm/366238793776,4739.00,4139.00,Razer AU,New,i9-13950HX,RTX 4090 Laptop GPU,32,16,18.0,2TB
157942587348,"(A+)Asus ROG Strix SCAR 17 SE 17.3"" i7-12950HX 32G 2TB SSD RTX3080Ti FHD 360Hz",https://www.ebay.com.au/itm/157942587348,2499.00,2517.00,eBay AU,Used,i7-12950HX,RTX 3080 Ti Laptop GPU,32,16,17.3,2TB SSD
168263146829,"Lenovo Legion 9i 18"" WQUXGA Intel Ultra 9 240Hz 2TB 64GB RTX5080 Gaming Laptop",https://www.ebay.com.au/itm/168263146829,4755.75,4755.75,eBay AU,Open Box,Intel Ultra 9,RTX 5080 Laptop GPU,64,16,18.0,2TB
116762331758,"Razer Blade Pro 17 17.3"" Intel Core i7-10875H Gaming Laptop",https://www.ebay.com.au/itm/116762331758,2299.00,2334.00,eBay AU,Open Box,i7-10875H,UNKNOWN,UNKNOWN,UNKNOWN,17.3,UNKNOWN
358603401448,Asus Rog Strix 17 RTX 4090 laptop QHD 240Hz display 64Gb ram DDR5,https://www.ebay.com.au/itm/358603401448,3600.00,3626.80,eBay AU,Used,UNKNOWN,RTX 4090 Laptop GPU,64,16,17.0,UNKNOWN
